what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1379346987908
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379346990889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379346990999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379346992220
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1379346992279
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379346996753
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1379346996753
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1379346999119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347000844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347001622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347001652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347001712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379347001714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347002903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347006505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347009833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347010186
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1379347011459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1379347013279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347015862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347017257
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1379347017267
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1379347018373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347020260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347022314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379347022325
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1379347023201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347025078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379347028695
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1379347028705
started,bundle,org.eclipse.jem.proxy,2.0.400.v201101101900,"org.eclipse.jem.proxy",1379347030608
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1379347051954
